mating_id,line_id,sire_id,dam_id,pair_start_date,status,notes
mat-aqp4ko-1,aqp4ko,aqp4ko-75,aqp4ko-74,2026-06-16,nursing,→尾崎さん→回収
mat-5xfad_aqp4ko-1,5xfad_aqp4ko,5xfad_aqp4ko-70,aqp4ko-80,2026-06-16,weaned,11
mat-5xfad_aqp4ko-2,5xfad_aqp4ko,5xfad_aqp4ko-78,aqp4ko-79,2026-06-22,weaned,4
mat-cagegfp-1,cagegfp,cagegfp-148,cagegfp-143,2026-06-01,weaned,
mat-cagegfp-2,cagegfp,cagegfp-149,cagegfp-144,2026-06-01,ended,子全死亡
mat-5xfad-1,5xfad,5xfad-120,wt-181,2026-05-07,weaned,
mat-5xfad-2,5xfad,5xfad-121,wt-182,2026-05-07,weaned,
mat-cagegfp-3,cagegfp,cagegfp-151,cagegfp-153,2026-06-30,weaned,7
mat-cagegfp-4,cagegfp,cagegfp-152,cagegfp-154,2026-06-30,weaned,2
mat-cagegfp_aqp4ko-1,cagegfp_aqp4ko,cagegfp-138,aqp4ko-77,2026-04-27,weaned,4
mat-cagegfp_aqp4ko-2,cagegfp_aqp4ko,cagegfp_aqp4ko-97,cagegfp_aqp4ko-93,2026-09-08,paired,
mat-cagegfp_aqp4ko-3,cagegfp_aqp4ko,cagegfp_aqp4ko-97,cagegfp_aqp4ko-94,2026-09-08,paired,
